objectid,filename,title,description,subject,location,source,type,format
IOL_Tib_J_594_1,IOL_Tib_J_594_1.jpg,IOL Tib J 594,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg
IOL_Tib_J_594_2,IOL_Tib_J_594_2.jpg,IOL Tib J 594,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg
IOL_Tib_J_594_3,IOL_Tib_J_594_3.jpg,IOL Tib J 594,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg
IOL_Tib_J_647_1,IOL_Tib_J_647_1.jpg,IOL Tib J 647,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg
IOL_Tib_J_647_2,IOL_Tib_J_647_2.jpg,IOL Tib J 647,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg
IOL_Tib_J_647_3,IOL_Tib_J_647_3.jpg,IOL Tib J 647,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg
IOL_Tib_J_647_4,IOL_Tib_J_647_4.jpg,IOL Tib J 647,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg
IOL_Tib_J_647_5,IOL_Tib_J_647_5.jpg,IOL Tib J 647,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg
IOL_Tib_J_647_6,IOL_Tib_J_647_6.jpg,IOL Tib J 647,Tibetan Dunhuang Manuscript,manuscript,"London, England","IDP, British Library",Image,image/jpeg
Pelliot_tibétain_116_1,Pelliot_tibétain_116_1.jpg,P. T. 116,Tibetan Dunhuang Manuscript,manuscript,"Paris, France","Gallica, Bibliothèque Nationale de Paris",Image,image/jpeg
Pelliot_tibétain_116_2,Pelliot_tibétain_116_2.jpg,P. T. 116,Tibetan Dunhuang Manuscript,manuscript,"Paris, France","Gallica, Bibliothèque Nationale de Paris",Image,image/jpeg
Pelliot_tibétain_2018,Pelliot_tibétain_2018.jpg,P. T. 2018,Tibetan Dunhuang Manuscript,manuscript,"Paris, France","Gallica, Bibliothèque Nationale de Paris",Image,image/jpeg
